! data from Xianmin @ http://knossos.eas.ualberta.ca/xianmin/nadja/
! format: date; next line; z (m), u (m/s), v (m/s); etc.
2002/01/05 00:00:00 22 2
  -3.82  0.1469 -0.0047
  -5.08  0.1505 -0.0169
  -6.44  0.1479 -0.0277
  -7.93  0.1402 -0.0344
  -9.57  0.1318 -0.0368
 -11.41  0.1271 -0.0358
 -13.47  0.1269 -0.0348
 -15.81  0.1280 -0.0346
 -18.50  0.1296 -0.0345
 -21.60  0.1319 -0.0342
 -25.21  0.1346 -0.0338
 -29.44  0.1378 -0.0344
 -34.43  0.1401 -0.0338
 -40.34  0.1403 -0.0346
 -47.37  0.1409 -0.0334
 -55.76  0.1405 -0.0327
 -65.81  0.1384 -0.0313
 -77.85  0.1347 -0.0296
 -92.33  0.1249 -0.0251
2002/06/19 00:00:00 22 2
  -0.49  0.0504 0.0421
  -1.54  0.0672 0.0413
  -2.65  0.0803 0.0370
  -3.82  0.0895 0.0310
  -5.08  0.0955 0.0240
  -6.44  0.1001 0.0157
  -7.93  0.1033 0.0062
  -9.57  0.1044 -0.0042
 -11.41  0.1025 -0.0139
 -13.47  0.0981 -0.0216
 -15.81  0.0924 -0.0262
 -18.50  0.0882 -0.0280
 -21.60  0.0888 -0.0281
 -25.21  0.0925 -0.0287
 -29.44  0.0973 -0.0312
 -34.43  0.1007 -0.0313
 -40.34  0.1027 -0.0316
 -47.37  0.1044 -0.0303
 -55.76  0.1059 -0.0286
 -65.81  0.1055 -0.0264
 -77.85  0.1032 -0.0243
 -92.33  0.0960 -0.0197
2002/06/24 00:00:00 22 2
  -0.49  0.0799 -0.0008
  -1.54  0.0849 -0.0007
  -2.65  0.0873 -0.0017
  -3.82  0.0872 -0.0035
  -5.08  0.0856 -0.0057
  -6.44  0.0834 -0.0077
  -7.93  0.0808 -0.0096
  -9.57  0.0765 -0.0111
 -11.41  0.0716 -0.0110
 -13.47  0.0690 -0.0102
 -15.81  0.0694 -0.0104
 -18.50  0.0718 -0.0117
 -21.60  0.0757 -0.0136
 -25.21  0.0807 -0.0161
 -29.44  0.0871 -0.0203
 -34.43  0.0914 -0.0206
 -40.34  0.0914 -0.0206
 -47.37  0.0928 -0.0189
 -55.76  0.0948 -0.0169
 -65.81  0.0951 -0.0152
 -77.85  0.0931 -0.0143
 -92.33  0.0876 -0.0108
2002/06/29 00:00:00 22 2
  -0.49  0.1188 0.0283
  -1.54  0.1302 0.0225
  -2.65  0.1388 0.0134
  -3.82  0.1395 0.0010
  -5.08  0.1310 -0.0108
  -6.44  0.1169 -0.0155
  -7.93  0.1075 -0.0148
